Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance Bank,Bank,493741,Francesville,IN,3/31/2025,"437,022",681,644,680,720,"124,712","108,657","126,901","109,612","39,018","2,388",0,"60,934",,2388,,,,,,,,,,,,,,,,,,,,
Alliance Bank,Bank,166652,Lake City,MN,3/31/2025,"777,232",906,906,920,920,"101,654","95,404","97,788","90,320","68,593","2,399",0,"1,353",,2399,,,,,,,,,,,,,,,,,,,,
Alliance Bank,Bank,176464,Sulphur Springs,TX,3/31/2025,"1,387,814","2,680","2,692","2,680","2,684","408,039","361,972","411,924","356,347","92,253","18,884",506,"34,979",,19390,,,,,,,,,,,,,,,,,,,,
Alliance Bank,Bank,2619714,Cape Girardeau,MO,3/31/2025,"371,931",0,0,0,0,"36,187","34,065","34,300","31,543","50,510",0,0,"2,575",,0,,,,,,,,,,,,,,,,,,,,
Alliance Bank,Bank,21658,Mondovi,WI,3/31/2025,"232,426",0,0,0,0,"45,760","43,432","46,553","43,725","20,806",0,0,"7,235",,0,,,,,,,,,,,,,,,,,,,,
Alliance Bank Central Texas,Bank,601658,Woodway,TX,3/31/2025,"987,853",0,0,0,0,"77,468","70,357","76,901","68,158","114,350","2,076",0,"7,778",,2076,,,,,,,,,,,,,,,,,,,,
Alliance Community Bank,Bank,924937,Petersburg,IL,3/31/2025,"411,973",0,0,0,0,"130,911","119,661","133,842","120,788","23,297","5,987",262,"24,906",,6249,,,,,,,,,,,,,,,,,,,,
Alliant Bank,Bank,35057,Madison,MO,3/31/2025,"249,481",0,0,0,0,"13,523","12,816","13,464","12,629","21,223",0,0,"3,983",,0,,,,,,,,,,,,,,,,,,,,
Allnations Bank,Bank,146056,Calumet,OK,3/31/2025,"73,488",0,0,0,0,"12,618","12,464","13,281","12,982","6,037",0,0,"5,639",,0,,,,,,,,,,,,,,,,,,,,
Ally Bank,Bank,3284070,Sandy,UT,3/31/2025,"182,323,000","4,668,000","4,671,000","4,346,000","4,294,000","21,307,000","18,259,000","22,306,000","18,463,000","14,279,000","76,000","51,000","254,000",,127000,,,,,,,,,,,,,,,,,,,,
Alma Bank,Bank,3633173,Astoria,NY,3/31/2025,"1,500,290","20,333","17,679","20,768","17,561","38,214","37,922","27,666","27,293","147,552",286,0,"2,120",,286,,,,,,,,,,,,,,,,,,,,
Alpine Bank,Bank,260055,Glenwood Springs,CO,3/31/2025,"6,661,051","1,111,905","1,024,553","1,129,963","1,048,884","803,219","735,197","807,304","724,804","597,846","17,631",0,"944,786",,17631,,,,,,,,,,,,,,,,,,,,
Alpine Capital Bank,Bank,2889227,New York,NY,3/31/2025,"215,479",0,0,0,0,965,959,835,836,"31,058",0,"2,356",0,,2356,,,,,,,,,,,,,,,,,,,,
Altamaha Bank And Trust Company,Bank,199436,Vidalia,GA,3/31/2025,"328,803","17,615","15,133","17,612","15,149","49,573","44,819","50,747","45,532","24,821",0,0,"35,461",,0,,,,,,,,,,,,,,,,,,,,
Alton Bank,Bank,881441,Alton,MO,3/31/2025,"134,723","31,382","28,830","31,698","28,705","12,716","11,555","12,891","11,482","8,980",0,0,"11,381",,0,,,,,,,,,,,,,,,,,,,,
Altoona First Savings Bank,Bank,777870,Altoona,PA,3/31/2025,"321,587",501,457,502,457,"98,247","93,073","96,796","90,788","40,000",0,0,"23,756",,0,,,,,,,,,,,,,,,,,,,,
Altos Bank,Bank,5861541,Los Altos,CA,3/31/2025,"28,563",0,0,0,0,0,0,0,0,"22,982",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Alva State Bank & Trust Company,Bank,246956,Alva,OK,3/31/2025,"565,254",0,0,0,0,"213,227","202,478","223,652","211,625","74,257",0,200,"41,500",,200,,,,,,,,,,,,,,,,,,,,
Amalgamated Bank,Bank,661308,New York,NY,3/31/2025,"8,289,862","1,573,818","1,440,644","1,586,909","1,432,720","1,759,604","1,707,274","1,696,239","1,629,058","746,146","12,936","1,343","1,264,729",,14279,,,,,,,,,,,,,,,,,,,,
Amalgamated Bank Of Chicago,Bank,397531,Chicago,IL,3/31/2025,"1,186,570","19,132","18,742","19,838","19,211","101,299","99,637","137,033","134,674","124,592",0,1,0,,1,,,,,,,,,,,,,,,,,,,,
Amarillo National Bank,Bank,353555,Amarillo,TX,3/31/2025,"9,743,947",1,1,2,2,"412,693","400,448","426,610","411,242","967,704","33,871","7,516","41,883",,41387,,,,,,,,,,,,,,,,,,,,
Ambler Savings Bank,Bank,206174,Ambler,PA,3/31/2025,"503,575",0,0,0,0,"124,079","106,164","126,409","107,101","56,018",399,87,"30,709",,486,,,,,,,,,,,,,,,,,,,,
Amboy Bank,Bank,9807,Old Bridge,NJ,3/31/2025,"2,787,584","154,447","150,672","157,886","152,661","272,285","267,659","274,255","268,155","326,316",0,0,"213,641",,0,,,,,,,,,,,,,,,,,,,,
"Amerant Bank, National Association",Bank,83638,Coral Gables,FL,3/31/2025,"10,147,301",0,0,0,0,"1,737,941","1,700,158","1,490,066","1,435,237","936,699","19,193","2,368",0,,21561,,,,,,,,,,,,,,,,,,,,
