Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HSBC Trust Company (Delaware), National Association",Bank,3357620,Wilmington,DE,3/31/2025,"56,641",0,0,0,0,0,0,0,0,"55,152",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Huntingdon Savings Bank,Bank,646471,Huntingdon,PA,3/31/2025,"17,779",0,0,0,0,0,0,0,0,"3,967",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Huntington Federal Savings Bank,Bank,609476,Huntington,WV,3/31/2025,"554,637","233,995","206,563","231,494","199,976",0,0,0,0,"86,231",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Huntington National Bank, The",Bank,12311,Columbus,OH,3/31/2025,"208,158,806","16,315,234","14,343,451","16,368,063","14,086,158","30,521,114","27,838,887","30,284,346","27,272,758","14,861,886","5,318,529","90,466","3,964,157",,5408995,,,,,,,,,,,,,,,,,,,,
Huron Community Bank,Bank,475345,East Tawas,MI,3/31/2025,"305,148",0,0,0,0,"99,555","92,634","100,494","92,881","22,906",0,0,"33,645",,0,,,,,,,,,,,,,,,,,,,,
Huron State Bank,Bank,753641,Rogers City,MI,3/31/2025,"88,485",0,0,0,0,"13,503","12,384","14,065","12,787","10,287",0,0,"7,005",,0,,,,,,,,,,,,,,,,,,,,
Huron Valley State Bank,Bank,3358270,Milford,MI,3/31/2025,"247,489",0,0,0,0,"20,229","19,081","23,600","22,301","26,316",0,0,"2,495",,0,,,,,,,,,,,,,,,,,,,,
Hustisford State Bank,Bank,467144,Hustisford,WI,3/31/2025,"78,449",0,0,0,0,"21,737","19,608","22,102","19,652","9,962",0,0,"6,543",,0,,,,,,,,,,,,,,,,,,,,
"Hyden Citizens Bank, Inc",Bank,211114,Hyden,KY,3/31/2025,"144,406",0,0,0,0,"56,552","51,009","55,273","49,095","7,644",0,0,"24,397",,0,,,,,,,,,,,,,,,,,,,,
Hyperion Bank,Bank,3517590,Philadelphia,PA,3/31/2025,"464,354",0,0,0,0,"19,808","17,483","20,079","17,373","43,245",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
I3 Bank,Bank,348159,Bennington,NE,3/31/2025,"203,137",0,0,0,0,"32,540","28,661","33,187","29,044","16,419",271,14,"14,727",,285,,,,,,,,,,,,,,,,,,,,
Icon Business Bank,Bank,5805228,Riverside,CA,3/31/2025,"121,127",0,0,0,0,"4,384","4,420","3,893","3,897","15,247",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Idabel National Bank, The",Bank,237954,Idabel,OK,3/31/2025,"256,606",0,0,0,0,"68,250","64,357","64,369","60,579","34,665",0,0,"30,905",,0,,,,,,,,,,,,,,,,,,,,
IDAHO FIRST BANK,Bank,3384952,Mccall,ID,3/31/2025,"961,640",0,0,0,0,"17,548","16,556","19,877","18,628","94,177",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Idaho Trust Bank,Bank,2753917,Boise,ID,3/31/2025,"202,439",224,223,222,221,"21,252","19,829","21,710","20,010","23,607",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Illini State Bank,Bank,180845,Tonica,IL,3/31/2025,"167,182",0,0,0,0,"50,235","44,832","47,764","41,569","16,944","4,341",0,"13,616",,4341,,,,,,,,,,,,,,,,,,,,
Impact Bank,Bank,369453,Wellington,KS,3/31/2025,"162,063","1,101","1,095","1,101","1,090","47,829","40,483","48,460","40,697","9,452",0,0,"22,297",,0,,,,,,,,,,,,,,,,,,,,
"Inb, National Association",Bank,925037,Springfield,IL,3/31/2025,"2,392,708",0,0,0,0,"130,675","124,656","132,481","125,262","224,548",131,50,"28,493",,181,,,,,,,,,,,,,,,,,,,,
INBANK,Bank,209858,Raton,NM,3/31/2025,"1,398,880","127,588","110,820","129,377","112,193","176,790","172,336","175,640","169,659","135,639","18,660","4,501","63,132",,23161,,,,,,,,,,,,,,,,,,,,
"Incommons Bank, National Association",Bank,414858,Mexia,TX,3/31/2025,"253,602",0,0,0,0,"50,580","45,631","51,127","45,393","19,934",0,0,"22,433",,0,,,,,,,,,,,,,,,,,,,,
Incrediblebank,Bank,163549,Wausau,WI,3/31/2025,"1,993,556","3,025","3,025","3,025","3,025","385,652","344,277","380,337","334,623","124,831","15,528",0,"90,258",,15528,,,,,,,,,,,,,,,,,,,,
Independence Bank,Bank,3180136,East Greenwich,RI,3/31/2025,"15,284",0,0,0,0,0,0,0,0,"15,066",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Independence Bank,Bank,606653,Havre,MT,3/31/2025,"1,283,425",0,0,0,0,"272,419","240,427","272,555","238,004","140,982","1,824",0,"83,688",,1824,,,,,,,,,,,,,,,,,,,,
INDEPENDENCE BANK,Bank,956527,Independence,OH,3/31/2025,"178,746","8,316","7,230","8,296","7,090","25,279","24,570","25,706","24,920","26,760",0,0,"11,497",,0,,,,,,,,,,,,,,,,,,,,
Independence Bank of Kentucky,Bank,648242,Owensboro,KY,3/31/2025,"3,801,538","1,192,440","954,045","1,193,788","941,513","292,367","257,530","297,191","258,859","285,334",0,0,"625,718",,0,,,,,,,,,,,,,,,,,,,,
Independence State Bank,Bank,396057,Independence,WI,3/31/2025,"84,709",236,236,236,236,"14,446","13,680","14,921","13,955","7,501",0,0,"3,039",,0,,,,,,,,,,,,,,,,,,,,
Independent Bank,Bank,636771,Grand Rapids,MI,3/31/2025,"5,321,109","337,057","302,579","339,568","301,861","590,156","529,676","621,588","559,182","457,730","28,300","1,366","440,177",,29666,,,,,,,,,,,,,,,,,,,,
Independent Bank,Bank,2666400,Memphis,TN,3/31/2025,"1,565,973","7,286","6,578","7,558","6,747",287,292,298,301,"160,290","14,732",0,0,,14732,,,,,,,,,,,,,,,,,,,,
"Independent Correspondent Bankers' Bank, Inc.",Bank,1187551,Frankfort,KY,3/31/2025,"144,433","2,338","2,351","2,428","2,428",0,0,0,0,"19,549",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Independent Farmers Bank,Bank,956152,Maysville,MO,3/31/2025,"151,049",0,0,0,0,"62,261","55,138","65,344","57,403","9,317",0,0,"27,706",,0,,,,,,,,,,,,,,,,,,,,
"Industrial And Commercial Bank Of China (usa), National Association",Bank,1015560,New York,NY,3/31/2025,"2,776,883","7,738","6,529","7,890","6,674",0,0,0,0,"477,461",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Industrial Bank,Bank,536527,Washington,DC,3/31/2025,"754,310",0,0,0,0,"281,903","260,103","283,644","258,020","103,170",0,0,"35,472",,0,,,,,,,,,,,,,,,,,,,,
Industry State Bank,Bank,733054,Industry,TX,3/31/2025,"692,642",0,0,0,0,"480,049","342,522","564,590","424,535","3,225",0,35,"266,920",,35,,,,,,,,,,,,,,,,,,,,
INFINITY BANK,Bank,5193989,Santa Ana,CA,3/31/2025,"338,676",0,0,0,0,"36,321","33,085","38,722","34,948","37,538",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Infirst Bank,Bank,904171,Indiana,PA,3/31/2025,"621,417",0,0,0,0,"28,821","25,784","29,362","26,065","54,517",0,0,"2,895",,0,,,,,,,,,,,,,,,,,,,,
INSBANK,Bank,2877345,Nashville,TN,3/31/2025,"934,717",0,0,0,0,"56,792","52,938","60,727","56,426","100,053",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
INSOUTH Bank,Bank,329550,Brownsville,TN,3/31/2025,"543,004",0,0,0,0,"77,705","69,969","76,078","67,279","41,988",0,0,"10,104",,0,,,,,,,,,,,,,,,,,,,,
"Inspire Trust Company, National Association",Bank,5805488,Reno,NV,3/31/2025,"10,732",0,0,0,0,0,0,0,0,"10,545",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Institution For Savings In Newburyport And Its Vicinity,Bank,272302,Newburyport,MA,3/31/2025,"5,325,960","130,481","111,738","131,707","111,041","128,465","123,073","116,473","109,068","599,843","9,435",0,"27,510",,9435,,,,,,,,,,,,,,,,,,,,
Integrity Bank,Bank,843953,Fowler,KS,3/31/2025,"86,431",0,0,0,0,"49,702","47,928","45,403","43,380","7,666",0,0,"12,462",,0,,,,,,,,,,,,,,,,,,,,
Integrity Bank & Trust,Bank,3160978,Monument,CO,3/31/2025,"397,978",0,0,0,0,"62,287","58,749","63,855","59,764","32,716",0,0,"4,598",,0,,,,,,,,,,,,,,,,,,,,
Integrity Bank For Business,Bank,5543735,Virginia Beach,VA,3/31/2025,"91,605","6,000","5,994","6,000","5,974","11,146","11,236","10,337","10,340","21,196",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Integrity Bank Plus,Bank,897451,Wabasso,MN,3/31/2025,"87,629",0,0,0,0,"19,656","17,811","19,464","17,500","7,638",446,0,"6,541",,446,,,,,,,,,,,,,,,,,,,,
Integrity Bank Ssb,Bank,5879201,Houston,TX,3/31/2025,"82,165",0,0,0,0,0,0,"3,977","3,971","37,046",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Integro Bank,Bank,5758436,Phoenix,AZ,3/31/2025,"119,569","1,341","1,341",0,0,"3,811","3,806","5,002","4,917","14,065",0,261,0,,261,,,,,,,,,,,,,,,,,,,,
"Interamerican Bank, A Federal Savings Bank",Bank,221775,Miami,FL,3/31/2025,"267,841",0,0,0,0,0,0,0,0,"36,562",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Interaudi Bank,Bank,538802,New York,NY,3/31/2025,"2,394,408","256,877","250,042","277,182","268,507","297,123","295,727","290,309","287,954","242,294",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
InterBank,Bank,1187001,Oklahoma City,OK,3/31/2025,"4,676,183",0,0,0,0,0,0,0,0,"484,566","76,078","10,339",0,,86417,,,,,,,,,,,,,,,,,,,,
Intercity State Bank,Bank,1016941,Schofield,WI,3/31/2025,"270,588","29,949","28,854","30,298","28,886",0,0,0,0,"58,958",0,0,"6,891",,0,,,,,,,,,,,,,,,,,,,,
"Intercredit Bank, National Association",Bank,44433,Coral Gables,FL,3/31/2025,"1,210,614",0,0,0,0,"571,902","561,569","408,705","394,903","114,854",0,6,"8,930",,6,,,,,,,,,,,,,,,,,,,,
"International Bank Of Amherst, The",Bank,504647,Amherst,WI,3/31/2025,"98,046","21,300","20,373","25,281","24,234","7,409","7,401","7,396","7,357","13,574",0,0,"17,284",,0,,,,,,,,,,,,,,,,,,,,
International Bank Of Chicago,Bank,2006024,Chicago,IL,3/31/2025,"993,844",0,0,0,0,"120,779","109,469","121,581","108,978","101,536",0,0,"33,440",,0,,,,,,,,,,,,,,,,,,,,
International Bank of Commerce,Bank,5050028,Oklahoma City,OK,3/31/2025,"1,643,212",0,0,0,0,"726,903","659,497","710,952","634,660","174,935","39,801",0,0,,39801,,,,,,,,,,,,,,,,,,,,
International Bank Of Commerce,Bank,230759,Brownsville,TX,3/31/2025,"4,263,676",100,100,100,100,"1,978,278","1,834,750","2,028,425","1,861,801","464,295","1,962",0,0,,1962,,,,,,,,,,,,,,,,,,,,
International Bank Of Commerce,Bank,382069,Zapata,TX,3/31/2025,"492,333",0,0,0,0,"319,275","294,450","311,664","283,262","49,214","4,771",0,0,,4771,,,,,,,,,,,,,,,,,,,,
International Bank Of Commerce,Bank,1001152,Laredo,TX,3/31/2025,"9,542,204","4,125","4,125","4,125","4,125","1,898,790","1,739,156","1,926,675","1,750,676","1,537,455","225,540",0,"145,443",,225540,,,,,,,,,,,,,,,,,,,,
International Finance Bank,Bank,867632,Miami,FL,3/31/2025,"1,360,753",0,0,"1,999","2,001","63,418","60,901","67,855","64,887","114,053",0,564,0,,564,,,,,,,,,,,,,,,,,,,,
Interstate Bank,Bank,791072,Perryton,TX,3/31/2025,"277,674",0,0,0,0,"83,708","72,439","84,328","72,100","15,597",395,0,"42,648",,395,,,,,,,,,,,,,,,,,,,,
Intracoastal Bank,Bank,3786435,Palm Coast,FL,3/31/2025,"576,623",0,0,0,0,"129,449","113,114","132,468","113,400","36,113",0,0,"34,475",,0,,,,,,,,,,,,,,,,,,,,
"Intrust Bank, National Association",Bank,557858,Wichita,KS,3/31/2025,"7,088,851",0,0,0,0,"2,592,605","2,190,708","2,643,498","2,201,138","404,429","15,020",980,"263,214",,16000,,,,,,,,,,,,,,,,,,,,
"Investar Bank, National Association",Bank,3449066,Baton Rouge,LA,3/31/2025,"2,726,375","42,269","42,721","42,686","42,145","400,210","345,727","392,562","331,121","232,106","40,088","1,370","55,629",,41458,,,,,,,,,,,,,,,,,,,,
Investment Savings Bank,Bank,854173,Altoona,PA,3/31/2025,"105,107",0,0,0,0,"42,464","40,345","42,325","39,735","21,158",0,0,"2,152",,0,,,,,,,,,,,,,,,,,,,,
INVESTORS COMMUNITY BANK,Bank,809379,Chillicothe,MO,3/31/2025,"93,667",0,0,0,0,"44,369","41,019","45,127","41,555","8,056",919,466,"40,047",,1385,,,,,,,,,,,,,,,,,,,,
Inwood National Bank,Bank,913753,Dallas,TX,3/31/2025,"4,378,205","1,501,919","1,286,933","1,546,124","1,304,497",0,0,0,0,"430,906","30,484",0,"236,326",,30484,,,,,,,,,,,,,,,,,,,,
Ion Bank,Bank,407506,Naugatuck,CT,3/31/2025,"2,159,947",0,0,0,0,"216,834","207,294","229,490","217,124","207,152","9,160","2,706","20,177",,11866,,,,,,,,,,,,,,,,,,,,
Iowa Falls State Bank,Bank,989141,Iowa Falls,IA,3/31/2025,"192,882",0,0,0,0,"82,372","81,539","75,429","75,055","14,685","12,633","2,014","23,696",,14647,,,,,,,,,,,,,,,,,,,,
Iowa Savings Bank,Bank,190648,Carroll,IA,3/31/2025,"280,000",0,0,0,0,"72,265","69,059","70,951","66,942","22,299",176,0,"3,422",,176,,,,,,,,,,,,,,,,,,,,
Iowa State Bank,Bank,298049,Sac City,IA,3/31/2025,"202,226",0,0,0,0,"31,841","30,259","31,478","29,597","21,119","1,100",0,"9,447",,1100,,,,,,,,,,,,,,,,,,,,
Iowa State Bank,Bank,662949,Des Moines,IA,3/31/2025,"464,144",0,0,0,0,"124,512","119,645","119,205","112,605","67,054",0,0,"65,848",,0,,,,,,,,,,,,,,,,,,,,
Iowa State Bank,Bank,734248,Algona,IA,3/31/2025,"457,992",0,0,0,0,"152,726","129,321","162,104","137,061","33,752","3,096",0,"52,340",,3096,,,,,,,,,,,,,,,,,,,,
Iowa State Bank,Bank,865142,Clarksville,IA,3/31/2025,"364,475",0,0,0,0,"73,303","72,555","73,982","73,075","37,605",0,0,"55,326",,0,,,,,,,,,,,,,,,,,,,,
Iowa State Bank,Bank,982348,Hull,IA,3/31/2025,"1,160,921",0,0,0,0,"317,696","283,208","323,455","286,491","102,837","6,513",113,"117,575",,6626,,,,,,,,,,,,,,,,,,,,
Iowa State Bank And Trust Company,Bank,651541,Fairfield,IA,3/31/2025,"279,464",0,0,0,0,"29,111","28,728","29,187","28,595","21,822",0,0,"1,139",,0,,,,,,,,,,,,,,,,,,,,
Iowa State Savings Bank,Bank,869346,Creston,IA,3/31/2025,"285,802",0,0,0,0,"74,659","70,565","72,027","67,013","22,070","2,680",604,"38,472",,3284,,,,,,,,,,,,,,,,,,,,
Iowa Trust & Savings Bank,Bank,649342,Emmetsburg,IA,3/31/2025,"542,901",0,0,0,0,"92,005","82,488","93,958","84,905","49,885","3,941","1,173","47,928",,5114,,,,,,,,,,,,,,,,,,,,
Iowa Trust And Savings Bank,Bank,202541,Centerville,IA,3/31/2025,"206,631",0,0,0,0,"92,628","83,348","102,184","92,228","19,599",0,0,"33,447",,0,,,,,,,,,,,,,,,,,,,,
Ipava State Bank,Bank,760434,Ipava,IL,3/31/2025,"203,269","34,328","33,169","35,614","34,012","10,308","10,126","10,800","10,420","18,443",0,155,"11,380",,155,,,,,,,,,,,,,,,,,,,,
Ipswich State Bank,Bank,532453,Ipswich,SD,3/31/2025,"68,513",0,0,0,0,"14,530","14,268","13,801","13,419","10,207",0,0,"5,287",,0,,,,,,,,,,,,,,,,,,,,
Ireland Bank,Bank,428462,Malad City,ID,3/31/2025,"365,539","74,543","74,986","74,443","74,338","64,536","61,769","68,352","64,922","30,822",222,0,"9,272",,222,,,,,,,,,,,,,,,,,,,,
Iron Workers Savings Bank,Bank,45775,Aston,PA,3/31/2025,"206,652",0,0,0,0,"30,738","26,572","31,051","26,258","15,748",0,0,710,,0,,,,,,,,,,,,,,,,,,,,
Iroquois Farmers State Bank,Bank,1007930,Iroquois,IL,3/31/2025,"164,391",0,0,0,0,"50,283","49,380","44,415","43,075","13,099",0,0,"6,155",,0,,,,,,,,,,,,,,,,,,,,
Iroquois Federal Savings And Loan Association,Bank,403870,Watseka,IL,3/31/2025,"879,141",0,0,0,0,"209,391","184,585","211,194","182,890","72,544",0,0,"2,776",,0,,,,,,,,,,,,,,,,,,,,
Isabella Bank,Bank,74140,Mount Pleasant,MI,3/31/2025,"2,054,178",0,0,0,0,"534,513","513,040","515,517","489,029","159,282","4,700",0,"74,221",,4700,,,,,,,,,,,,,,,,,,,,
Israel Discount Bank Of New York,Bank,320119,New York,NY,3/31/2025,"13,581,365","1,023,379","914,972","966,851","842,830","1,652,334","1,527,560","1,557,557","1,414,476","1,347,859",0,0,"115,438",,0,,,,,,,,,,,,,,,,,,,,
Itasca Bank & Trust Co.,Bank,812436,Itasca,IL,3/31/2025,"761,462",0,0,0,0,"184,081","169,508","187,980","171,194","66,532",0,0,"43,317",,0,,,,,,,,,,,,,,,,,,,,
Its Bank,Bank,2774707,Johnston,IA,3/31/2025,"29,583",0,0,0,0,"27,245","27,145","26,942","26,522","27,155",0,0,"4,766",,0,,,,,,,,,,,,,,,,,,,,
"Iuka State Bank, The",Bank,233442,Salem,IL,3/31/2025,"137,491",0,0,0,0,"14,262","12,405","15,393","13,431","13,186",0,0,"7,053",,0,,,,,,,,,,,,,,,,,,,,
Ixonia Bank,Bank,529341,Ixonia,WI,3/31/2025,"804,006",0,0,0,0,"115,784","106,789","118,753","108,621","76,852",0,0,"21,265",,0,,,,,,,,,,,,,,,,,,,,
"Jacksboro National Bank, The",Bank,924058,Jacksboro,TX,3/31/2025,"297,953",0,0,0,0,"141,485","127,312","147,365","130,772","18,547",321,0,"55,580",,321,,,,,,,,,,,,,,,,,,,,
Jackson County Bank,Bank,884442,Seymour,IN,3/31/2025,"1,036,251","16,280","15,764","16,664","15,975","99,480","87,928","97,856","85,739","79,769","3,382","1,584","40,613",,4966,,,,,,,,,,,,,,,,,,,,
Jackson County Bank,Bank,1016718,Mc Kee,KY,3/31/2025,"177,514","4,357","4,268","4,715","4,604","74,468","73,760","69,604","68,135","46,240",0,0,"6,454",,0,,,,,,,,,,,,,,,,,,,,
Jackson Federal Savings & Loan Association,Bank,291376,Jackson,MN,3/31/2025,"28,187",0,0,0,0,"9,999","8,212","10,104","8,129","5,948",0,0,"3,541",,0,,,,,,,,,,,,,,,,,,,,
Jackson Parish Bank,Bank,122153,Jonesboro,LA,3/31/2025,"63,743",0,0,0,0,"24,955","22,686","37,925","35,221","11,092",0,0,"5,493",,0,,,,,,,,,,,,,,,,,,,,
"Jackson Savings Bank, Ssb",Bank,360777,Sylva,NC,3/31/2025,"29,860",0,0,0,0,0,0,0,0,"7,114",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
James Polk Stone Community Bank,Bank,785857,Portales,NM,3/31/2025,"411,524","8,312","7,959","8,365","7,983","130,846","118,469","132,182","117,862","25,805",0,0,"49,010",,0,,,,,,,,,,,,,,,,,,,,
Janesville State Bank,Bank,88259,Janesville,MN,3/31/2025,"86,345",0,0,0,0,"13,845","12,726","14,084","12,813","9,575",0,0,"3,072",,0,,,,,,,,,,,,,,,,,,,,
Jarrettsville Federal Savings And Loan Association,Bank,613978,Jarrettsville,MD,3/31/2025,"162,694",694,685,731,716,"18,653","16,610","19,118","16,706","18,465",0,0,"1,248",,0,,,,,,,,,,,,,,,,,,,,
JD Bank,Bank,980531,Jennings,LA,3/31/2025,"1,187,540","6,329","6,289","7,235","7,179","381,713","338,167","386,075","339,495","105,471","4,180",0,"124,307",,4180,,,,,,,,,,,,,,,,,,,,
Jeff Bank,Bank,306908,Jeffersonville,NY,3/31/2025,"650,178","7,865","7,937","7,180","7,302","179,285","167,231","183,937","171,571","80,961",0,0,"113,809",,0,,,,,,,,,,,,,,,,,,,,
Jefferson Bank,Bank,45560,San Antonio,TX,3/31/2025,"2,839,195","34,167","31,809","36,569","32,906","583,346","540,183","606,661","557,203","204,014","2,011",0,"39,406",,2011,,,,,,,,,,,,,,,,,,,,
"Jefferson Bank, The",Bank,703039,Greenville,MS,3/31/2025,"165,697",0,0,0,0,"30,447","28,055","30,596","27,660","31,430",0,0,"7,153",,0,,,,,,,,,,,,,,,,,,,,
Jefferson Security Bank,Bank,786733,Shepherdstown,WV,3/31/2025,"544,372","48,898","43,811","48,780","44,210","64,350","57,449","66,249","58,184","31,106",0,0,"58,980",,0,,,,,,,,,,,,,,,,,,,,
Jersey Shore State Bank,Bank,732918,Williamsport,PA,3/31/2025,"1,607,394",0,0,0,0,"138,185","134,960","145,345","140,078","137,046","2,379",82,"77,720",,2461,,,,,,,,,,,,,,,,,,,,
Jersey State Bank,Bank,482446,Jerseyville,IL,3/31/2025,"181,613",0,0,0,0,"85,196","76,130","86,594","76,578","18,403",0,0,"37,902",,0,,,,,,,,,,,,,,,,,,,,
Jewett City Savings Bank,Bank,820301,Jewett City,CT,3/31/2025,"446,470","2,547","2,549","2,548","2,554","21,534","20,082","21,992","20,312","62,527","1,813",0,"2,582",,1813,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Neighborhood Bank,Bank,920210,Jim Thorpe,PA,3/31/2025,"242,358",0,0,0,0,"94,153","86,197","96,544","87,200","18,607",862,0,"22,882",,862,,,,,,,,,,,,,,,,,,,,
"JOHN DEERE FINANCIAL, F.S.B.",Bank,2992547,Middleton,WI,3/31/2025,"3,789,750",0,0,0,0,0,0,0,0,"790,120",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
John Marshall Bank,Bank,3419416,Reston,VA,3/31/2025,"2,268,866","91,172","77,456","92,009","76,270","136,276","124,469","143,841","130,257","271,507",0,0,"7,458",,0,,,,,,,,,,,,,,,,,,,,
Johnson Bank,Bank,58243,Racine,WI,3/31/2025,"6,848,587","828,272","782,050","817,072","758,676","241,316","226,332","248,477","231,170","826,761","14,034",0,"119,189",,14034,,,,,,,,,,,,,,,,,,,,
Johnson City Bank,Bank,977652,Johnson City,TX,3/31/2025,"133,095","7,033","6,331","7,078","6,278","12,304","11,151","11,607","10,163","17,135",0,0,"1,985",,0,,,,,,,,,,,,,,,,,,,,
Johnson State Bank,Bank,235950,Johnson,KS,3/31/2025,"90,592",0,0,0,0,"47,399","44,212","48,377","44,766","11,715",0,0,"22,975",,0,,,,,,,,,,,,,,,,,,,,
Jonah Bank Of Wyoming,Bank,3412417,Casper,WY,3/31/2025,"528,851",0,0,0,0,"84,028","77,771","84,279","76,536","48,541",0,0,"5,058",,0,,,,,,,,,,,,,,,,,,,,
Jones Bank,Bank,469559,Seward,NE,3/31/2025,"442,654",0,0,0,0,"177,575","153,415","182,902","157,995","23,071","3,135",14,"67,550",,3149,,,,,,,,,,,,,,,,,,,,
Jonesboro State Bank,Bank,121651,Jonesboro,LA,3/31/2025,"1,039,845",0,0,0,0,"929,777","899,483","708,121","666,573","56,579",0,0,"125,686",,0,,,,,,,,,,,,,,,,,,,,
Jonesburg State Bank,Bank,733755,Jonesburg,MO,3/31/2025,"135,720",0,0,0,0,"13,158","12,978","13,386","13,110","11,998",0,0,291,,0,,,,,,,,,,,,,,,,,,,,
Jonestown Bank And Trust Company,Bank,653611,Jonestown,PA,3/31/2025,"968,617",0,0,0,0,"46,224","44,646","47,052","45,050","90,374",0,0,"5,386",,0,,,,,,,,,,,,,,,,,,,,
Journey Bank,Bank,881012,Bloomsburg,PA,3/31/2025,"1,599,499",0,0,0,0,"320,787","306,019","339,338","321,822","132,198","25,609","9,555","81,222",,35164,,,,,,,,,,,,,,,,,,,,
"JPMorgan Chase Bank, Dearborn",Bank,651448,Dearborn,MI,3/31/2025,"68,834",0,0,0,0,0,0,0,0,"68,204",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"JPMorgan Chase Bank, National Association",Bank,852218,Columbus,OH,3/31/2025,"3,643,099,000","265,167,000","242,253,000","274,571,000","247,899,000","402,292,000","399,337,000","411,012,000","406,814,000","275,174,000","40,515,000","966,000","26,648,000",,41481000,,,,,,,,,,,,,,,,,,,,
Junction National Bank,Bank,741152,Junction,TX,3/31/2025,"87,268",0,0,0,0,"52,143","47,543","52,925","47,404","5,924",0,0,"14,790",,0,,,,,,,,,,,,,,,,,,,,
"Juniata Valley Bank, The",Bank,215710,Mifflintown,PA,3/31/2025,"853,162","189,634","184,898","191,627","182,773","69,878","64,772","70,868","64,623","39,192","9,812",241,"6,093",,10053,,,,,,,,,,,,,,,,,,,,
Kalamazoo County State Bank,Bank,644141,Schoolcraft,MI,3/31/2025,"122,465","5,153","5,064","5,166","5,030","48,498","45,082","47,125","42,946","11,105",0,0,"24,236",,0,,,,,,,,,,,,,,,,,,,,
Kansas State Bank,Bank,287959,Ottawa,KS,3/31/2025,"193,225",0,0,0,0,"98,890","96,705","104,702","101,824","16,490",0,0,"13,150",,0,,,,,,,,,,,,,,,,,,,,
Kansas State Bank,Bank,582654,Overbrook,KS,3/31/2025,"92,097",0,0,0,0,"36,878","33,237","37,181","33,096","9,472",0,0,"11,292",,0,,,,,,,,,,,,,,,,,,,,
"Karnes County National Bank Of Karnes City, The",Bank,979759,Karnes City,TX,3/31/2025,"501,129","7,007","6,892","7,142","6,986","230,724","210,473","232,070","208,298","44,940",0,0,"41,091",,0,,,,,,,,,,,,,,,,,,,,
Katahdin Trust Company,Bank,327305,Patten,ME,3/31/2025,"1,079,094",0,0,0,0,"167,457","153,363","166,011","149,520","93,822","5,559",140,"16,622",,5699,,,,,,,,,,,,,,,,,,,,
Kaw Valley Bank,Bank,485456,Topeka,KS,3/31/2025,"319,515",0,0,0,0,"26,265","25,695","23,780","22,933","36,609",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Kaw Valley State Bank,Bank,651354,Eudora,KS,3/31/2025,"73,002",0,0,0,0,"41,257","37,002","42,114","37,694","2,063",0,0,"15,199",,0,,,,,,,,,,,,,,,,,,,,
"Kaw Valley State Bank And Trust Company, Of Wamego, Kansas, The",Bank,368951,Wamego,KS,3/31/2025,"270,415",0,0,0,0,"99,303","96,369","94,957","91,042","28,236",0,0,"15,002",,0,,,,,,,,,,,,,,,,,,,,
Kcb Bank,Bank,5751,Lakin,KS,3/31/2025,"318,408","6,250","5,046","6,250","5,046","113,163","105,993","117,147","109,364","34,345",953,0,"31,688",,953,,,,,,,,,,,,,,,,,,,,
Kearney Trust Company,Bank,814551,Kearney,MO,3/31/2025,"315,632",0,0,0,0,"118,627","115,035","108,872","104,369","27,472",0,0,"18,790",,0,,,,,,,,,,,,,,,,,,,,
